ticker,height,address,amount
quark,950000,bc1qt87mprj2fl6kw4leypz2vw0valfqndgcdutwgf,114409682
quark,950000,bc1qwjv97kps9vszpq85jknepsvfs8qlvp3ytcnkml,109246306
quark,950000,bc1pgfz630c2jp5ehwpcswzkrs85sddnj4xjastc7z92a7h6gurxfqhsknd732,102976762
quark,950000,bc1q6z23472n4nu4khksm3j8ax5rwdjc30y5ygrle2,87686557
quark,950000,3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,83634967
quark,950000,bc1ph9w3wxrewfy63l4alsd53z9shp5egd8ykc29a6ju0dmyejtkhl2sxfvhnd,75298318
quark,950000,bc1psnrfefhlr2cyex8azk9qjw9fcwywzca2z78yg765nrsfw2082yqq2lhyxt,52618756
quark,950000,bc1qg755h06e77mgd2zyh9ctt8w6cnuc2wqqr55868,50947730
quark,950000,39yz4T1dm2pj64JkyH7GXGeRA44WFRTWsJ,47352285
quark,950000,3CdVzfAe6Aw9K4oSPYXC7BR1xLxCPkxAUs,46546240
quark,950000,bc1p7hvslwhcgxmeuhgtfxu2urul93f9qehdk88hnegdm45jk7rtcraqysax38,46220000
quark,950000,bc1qte5e60m4fcxa6duk9ymqkdtswcf2m5duhe6g67,45717429
quark,950000,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,44272162
quark,950000,bc1p3w7t8vygc8hqymahv442tytfaxv5ymjl3g7dwu2zmf2amkcc6mlsaax3gh,41926050
quark,950000,bc1pxc5fn62dzf2f0jwq3lnsn3lhafdk08sva4n3vwfqes078qwxxads5dgetl,40982251
quark,950000,bc1p3phveu82er8culfxd7hnh98mjrxnyw8uydlymcsne2a4ufjsngvslcvt9v,40011966
quark,950000,bc1pza5453g4avl8kv6r3wdkgjdcg3sppqh4pz73q5mgxcs2c0whg8fq6cn2kz,40000000
quark,950000,bc1pjlwr8e7pm4mrgrc7rf0hxrqcqfc9h9u3g9djegse0tyavq46mw7szyqgur,39940000
quark,950000,bc1p365h00zqn20txfur6hlfr3ducjmh2qgv8hngsecs9fudhhh48ussq6qktk,37020000
quark,950000,bc1q5nmdw4ym5442jw4fx4qlm4ng6hum2jglu3st2u,36744783
quark,950000,bc1p3dfge99g2ulp8ry7almgr64fmwqzfxqclgh5mca39rzl2lw3zvasavfyzu,34074405
quark,950000,bc1p6xexk4fmuzafc9ryflmn4ssfgtap0j3p0zrueyagfqnwfqc60mhsjrm0pd,32290330
quark,950000,142NmHtou9QZNqUjrW5grjzrPUYUGhrHjL,31654204
quark,950000,bc1pewew5hwn9knlvjlylpvm8jsn5fxsmd03a9mwmk3342clztzckn0qu5zwlq,30030000
quark,950000,bc1pgsatmp3k2vhl04z59q5yz7tqgpr6nutv7a4r26ucn6t93xjd3haqaj07n6,30000000
quark,950000,bc1qfsj2vfvtrscms4u9yttm6q5xs7htvcfxvtj7ke,29277113
quark,950000,bc1qdf4g0sl8gzyemmsmyc9x4tv4ue2yuwg0grs97a,28866399
quark,950000,bc1q3fj22z7qcrmajy7yaulnkkyetj5up0qtlx7vvv,28152384
quark,950000,bc1pgkq9j6yfcfl6jd84ww22p60uuhx3hnjwhdfl8gyn98drw09kv3jsfj4a2u,26000000
quark,950000,bc1pfzr2y0a0yf85pru99fuxrlgrx2yqkrs9y0eje6gzx9n0ps6vg6rsd33m7l,25400000
quark,950000,bc1pymzu5gx70gj6qxnzu8ghkh0l5vr9f3scaqspw9r4clkfhrtr2f8sfa823x,25360000
quark,950000,bc1pdsxec7j3624ksrw0zaxxxu6dsxlcdpa8wu9tstx9r0scd2pq62sqj29kja,24068525
quark,950000,bc1q55hdgtsqy0kv6ct4gexu7g3f625nkn4qeu9x60,24014222
quark,950000,bc1q8syct9drvxdu3h8wgnua5wutqk67et6fp4aqyn,23850631
quark,950000,bc1qvfjs74fjxrp224e98pe2pez8nf4mmznjwenjkd,23406464
quark,950000,bc1pmtjdsmm3jgwsy0h5y53hwp5j4ql75ruudcg4gcvwrjnd8qkkk6vsetjuz9,23173368
quark,950000,bc1pxxg24dlczmmpnxme3z7j55pfz87gp3e3pfekvqfqt0z0jjst4l5swlj7mv,23140000
quark,950000,bc1qa606pjg7uwdcn0q7p0n9fnfvkgwkswdmp7zxgw,22730168
quark,950000,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,22496140
quark,950000,bc1p93pre0xq0cxnu7kwv2hdyq7g5cjx6nn3d9ptn3c5y43u9ffjem5s87cuxq,22284335
quark,950000,bc1pcxaghhfumlx65pelkpwp35azq3umx8kcq53jg7gycxyz9vxcqzgqmj0tsc,22200000
quark,950000,bc1p3jzv54xg9rxpk8zmanaewqqdl6v74rajv4uzsaxwwvwuf0nv8xus685p9w,20780000
quark,950000,bc1pnuycnekqzchp0562zgpdcggan3md4n62fs764uq9rp9p2pa4rr7q7gvmz7,20762145
quark,950000,bc1ql66f5wuwjqjg7xzf22kgr0epghj7qp5djv4nh7,20578873
quark,950000,bc1p2e2zv5pnkdfjash6mkzmfvp55cqwqmfpl3mhnlgrcjxsv5kpypvsjs2fqx,20380000
quark,950000,bc1pd0nsvaqvjzj6nt7egvtrs6nkcsvyupesxyhk0s3hm75pm5eevutssmn47s,20000000
quark,950000,bc1qlcmmpvz6asesgh2s99e04huwgwvevy43275kck,20000000
quark,950000,bc1qtfmvp0esw4vnaaer8lg209wcmgs29cxsrm4thz,20000000
quark,950000,bc1qhqlt42vzyhgg7246xgq468f6zu0axees0ctlu2,19898000
quark,950000,bc1pjp3wyhl6qg6hcxxlyqa68j4skmdxky4ne23ftnrqhwcgyc4r7huqkwthjh,19662151
quark,950000,bc1p0wwatj5vd5rdcedns3r26rgrehzgal4pj09ff3cgndysmntyld7s7tav5l,19598455
quark,950000,bc1pnk5jzlazyf0xesrmx50nuq8wrvs4sttsznfplsafa9efmry0fchqcqse64,19100000
quark,950000,bc1qaq43xt024z0dzlxnaukpzcnl5uzd83qcnl0ty3,18350634
quark,950000,bc1q8z2kja2ck30vjay44dmw0a8rdxy777shf0p90g,18345953
quark,950000,bc1qx9n80t5q7tfmutzaj0ramzzzsvtveara68zntc,18146887
quark,950000,bc1qgud64wfv8en2tvqnf79el9aj26en2j8q7fjual,18062009
quark,950000,bc1p5j9rnn7lvuua7cdkylp6hnqyj68qnc3nndt37zvlj9s6pma4q6ns5hcpuy,17731043
quark,950000,bc1pmh2zks7runjmdh4c9fv5crq9y4hlpxtdsn8d5xhgryzqwktkncrq6rvn34,17540000
quark,950000,32D5Gxk4LVDiDh3BsieB1hEaEF6o9W2Zwy,17379174
quark,950000,bc1pwrtyep5np9xmp2y8q2apuf8d4jv4mqws7eet5xefjlf9v56yrhmshkfrug,17237064
quark,950000,bc1q2ymlh8dslhxwumx4gj2jdqale29v48489p57m6,17213230
quark,950000,bc1pdutpqhn09n0g8z03mpdazdkpqdul6djqmqz36d92vd0s6j58mweszcq7v2,17060000
quark,950000,bc1p6zffl4l3lqtdw0f5m4kt7e0n4tvdwrn7m70sfc5sadne99qsyvns38lk9m,16860000
quark,950000,bc1phaz84e0vmn5qaxev2c35q6wfv8dwxutwptu8806tp3ynplug8swqtmuf8l,16740000
quark,950000,bc1qt9esws05xnflrl7x3c2x8d46dhrr8wl2lg7a4z,16622296
quark,950000,bc1qzk2pyxtahg64cx6gyq02vrw65fdxtpr253r4ygww9n2w2zjyy8wsnyc666,16282590
quark,950000,bc1psavjmvf750lzrjhfj59sxhywx3rfj33npym6sxcapy7wgyfqd7zqfdv8y0,16140000
quark,950000,bc1pr2e80qsvdxf68khaevcflt5v9d5uwqdx9sxyxp5950d9s0mx4wmqvun3qk,15844231
quark,950000,bc1qxmdj254llw9pn75jty5wlaxe9540ynrvehq7h3,15471377
quark,950000,bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0,15403844
quark,950000,bc1qts7z4jmgl56eumf82n4m70tyu4zt9lv92upgmq,15278455
quark,950000,bc1prxmhcezh2snxkgqtyya2ftqn9lrq84vep6m6jtklvyahr2s0jt5snaqn62,15100000
quark,950000,bc1q0lfp0nn9z9r370rhmp27xsmf3khwtranuegp9k,14686586
quark,950000,bc1p4fw6fs39wwanraf7jpk2hktgph4f640wtprhkvnske0yxsu5fa0slv8yvs,14640000
quark,950000,bc1pfgua9j63f28lsxvl27r29deedvlfyjygmtxt7tsp8zuu7ywzxedsjdpheu,14498099
quark,950000,bc1papc24n4s4p6g67ytxzc080mcttv3302xw4yk39t5dlrh5vpazajs28pheu,14480000
quark,950000,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,14403878
quark,950000,bc1peg2zg2z5e5nl9tgtqe5ewqyp6z0zlncz6cll39hqea4duk09kqrst9vznt,14140000
quark,950000,bc1q39kh66daccvtswkjzp8ft94tn8k6ufrwd084w0,13922340
quark,950000,bc1qewgctxaup8f5cckn7jkds2hlch0mthuump3m97,13781779
quark,950000,bc1qzhcrstz2gkk4t7thg4wl3lwed8q0h0w0atfele,13760860
quark,950000,bc1quxz4wzkjnz35uqk97ml9l0gxh9l337evsg2u3t,13750734
quark,950000,bc1p60vjyej8ww4ngxc50gza0gy6lhytresg88pqs8jm8yft7gqduy7sudz5r7,13455479
quark,950000,bc1qm9unvqcyszyhaugtrhe9uxv706dqurglkv6tex,13305676
quark,950000,bc1p3d2pf8fdsjett6ghwzdptxpux3exmmu072rsyn45p3cvfepmhvqqs9plnr,13304180
quark,950000,bc1p4x4mh6a535mmvfzgahxz5yjngxuv768wudn3623ca8szm3yhj9zs25f8m0,13045272
quark,950000,1Bowoc7UQpSzSPGbrLLd3Uy7pA2fUQsW67,13000000
quark,950000,bc1pezr54emc45ke8zvmfm7sq9mmmqvsr8g6cg3zv3sj5nmgd6tltplqkxr2y9,12719352
quark,950000,bc1qlt50xz8zc7ddwt0984x32ljrrryzyc0xudgrr9,12713433
quark,950000,bc1pmzp0jyl8v2cvcp74t8584erz7faepk4d6p47fe3xac8g2r6px28s3pmw7d,12680000
quark,950000,bc1pgy5ga6rklzukqr76z3nusdfcq7hdw67uenfvlvw53jfydwttuz9qszxjsp,12660000
quark,950000,bc1pw25hzkkntvgjqz4h33exuyjyuxcj8g8x26vy0ky8rv3t80hyrwjszguw42,12623722
