ticker,height,address,amount
quark,828228,bc1psar3ak7efwncv048k9lxetg924edw84tryzddmm2srjmfjkuk7wszs0vct,102878707
quark,828228,bc1p7md5p8p9h5k0w38hzrnwessxh5uttevc4nz9t0snxqz0g564rgvqwhjchr,68940000
quark,828228,bc1p8xe6exmsh0p90agephzjrlen7thaquvacpwqdm3f28sjmy5s0uhqk7vw4z,64700000
quark,828228,bc1p2way0h8jf2wkdgkdhwkgk54tc7qsmkyzwe27lgdse2g7uem2t7uq77trml,60800000
quark,828228,bc1pw7t7h62dk76q2zu05psqnwg38qjvvf0rpej7lek0ynhthqd26ffqrzw4rq,60360000
quark,828228,bc1pqfvjxm6w0nx2c66nfp36a9gdcp6a4r4lchegup9769lrlsvq7f2szarhlr,57200000
quark,828228,bc1pggazu7wm4la3vt745qryfuj39hm202e5ljpar72nym4l9xvkhjhqd9pe3d,55460000
quark,828228,bc1pgfz630c2jp5ehwpcswzkrs85sddnj4xjastc7z92a7h6gurxfqhsknd732,53680000
quark,828228,bc1q8ksruedue2uwc7zrmg3c3ac55wflxclpaed4ys,48000000
quark,828228,bc1prlgxsn7wqc8dfmrkjzxsyzp70hsts3tf937vmr76x37npkmekgxsqg6y5j,47822024
quark,828228,bc1p7hvslwhcgxmeuhgtfxu2urul93f9qehdk88hnegdm45jk7rtcraqysax38,46220000
quark,828228,bc1p384l3xlw7hhe5drfg9qawakc2zclg6g9hu3lzgts97xl0lmh7gkskhzhfs,40000000
quark,828228,bc1pv5ptsu2x83yv8vxmk8qdr5f74gjh9kat3wwf5dln0fesvte0fy8q0hp4zq,40000000
quark,828228,bc1pza5453g4avl8kv6r3wdkgjdcg3sppqh4pz73q5mgxcs2c0whg8fq6cn2kz,40000000
quark,828228,bc1pjlwr8e7pm4mrgrc7rf0hxrqcqfc9h9u3g9djegse0tyavq46mw7szyqgur,39900000
quark,828228,bc1p00rk0aytc7eylqtmqu3pzk722fj06866fmmmdfk5388ktg4lwrpsq3lusn,39280000
quark,828228,bc1pssh87sk5n2dlz6cs9xf5kkup2xz9fnre4xvlcmwyt3nfephzyz7qht7mpk,38940000
quark,828228,bc1p365h00zqn20txfur6hlfr3ducjmh2qgv8hngsecs9fudhhh48ussq6qktk,37020000
quark,828228,bc1pjn5ml5mt6dk984jg2tw4weleqdfzpfcqtachwrctx7v09wd8uk9s6zahlx,36562730
quark,828228,bc1pjs77d0uxjl9tnjw0guljxml75pdpzpwyluqgp4033w2wjs86esjqrjrclc,34080000
quark,828228,bc1pkzpspzaana3dtm4taf334k3n0xqutd2l4kxzfnpsnwg79jxwtutssmq65g,30060000
quark,828228,bc1pewew5hwn9knlvjlylpvm8jsn5fxsmd03a9mwmk3342clztzckn0qu5zwlq,30030000
quark,828228,bc1p2sn9lwvt2guwhrs3h3uqpllxn0zym09vfsvnmtufwyxgvrhnwkwspnwzvv,30000000
quark,828228,bc1pgsatmp3k2vhl04z59q5yz7tqgpr6nutv7a4r26ucn6t93xjd3haqaj07n6,30000000
quark,828228,bc1p48ejsrlual5sud94xsucd0gzpdgdzvjypf7tk2kc5u8m230j4laqur9l25,29980000
quark,828228,bc1pn8n59fxf2jc2nylksjgkudj4d4k59t2a7elv2fw6gmv4xajfvw4q0el506,29040000
quark,828228,bc1p049979esj9vdgg4pyv7zxce8kf4dk8e7kcgd9gvwwym6xpew6wfs83yfdm,28340000
quark,828228,bc1pfxjy5xnlrls0hdsetx3ymvumwnj0nwmwhtpelfz73h0x8qce2nuqa93wtq,28240000
quark,828228,bc1p5eejndfduz9qlexl3cakrzz9yjafs2usuayhsutpsfz64nygtxtqfuznkf,27280000
quark,828228,bc1p7z2y8duc33cl8qsu2ppcayygurq72ts8estcjfrltsv2764pgrlq7fa9z9,26780000
