ticker,height,utxo_id,amount
atom,819281,27780295269023744,1000
atom,819281,27780295269810176,1000
atom,819281,27780295270596608,1000
atom,819281,27780329583149056,1000
atom,819281,27780329756688384,1000
atom,819281,27780329757474816,1000
atom,819281,27780329758261248,1000
atom,819281,27780329759047680,1000
atom,819281,27780329759834112,1000
atom,819281,27780329760620544,1000
atom,819281,27780329761406976,1000
atom,819281,27780329762193408,1000
atom,819281,27780330264199168,1000
atom,819281,27780363903303680,1000
atom,819281,27780398357151744,1000
atom,819281,27780398357938176,1000
atom,819281,27780398358724608,1000
atom,819281,27780398359511040,1000
atom,819281,27780398360297472,1000
atom,819281,27780398361083904,1000
atom,819281,27780398361870336,1000
atom,819281,27780398362656768,1000
atom,819281,27780398590722048,1000
atom,819281,27780432594731008,1000
atom,819281,27780467004014592,1000
atom,819281,27780467098648576,1000
atom,819281,27780467353190400,1000
atom,819281,27780467353976832,1000
atom,819281,27780467419512832,1000
atom,819281,27780467423444992,1000
atom,819281,27780570364772352,1000
atom,819281,27780638773084160,1000
atom,819281,27780673431404544,1000
atom,819281,27780707501211648,1000
atom,819281,27780707965730816,1000
atom,819281,27780742188105728,1000
atom,819281,27780742250233856,1000
atom,819281,27780776202600448,1000
atom,819281,27780845136248832,1000
atom,819281,27780879422849024,1000
atom,819281,27780879724052480,1000
atom,819281,27780879724838912,1000
atom,819281,27781017252921344,1000
atom,819281,27781051214200832,1000
atom,819281,27781154368651264,1000
atom,819281,27781154369175552,1000
atom,819281,27781154369699840,1000
atom,819281,27781154383331328,1000
atom,819281,27781188574511104,1000
atom,819281,27781188592599040,1000
atom,819281,27781188739661824,1000
atom,819281,27781222926123008,1000
atom,819281,27781222930317312,1000
atom,819281,27781257324920832,1000
atom,819281,27781257327017984,1000
atom,819281,27781257327542272,1000
atom,819281,27781257521004544,1000
atom,819281,27781257568190464,1000
atom,819281,27781291651629056,1000
atom,819281,27781360348823552,1000
atom,819281,27781394722193408,1000
atom,819281,27781394727436288,1000
atom,819281,27781394727960576,1000
atom,819281,27781394728484864,1000
atom,819281,27781394729009152,1000
atom,819281,27781394729533440,1000
atom,819281,27781429152710656,1000
atom,819281,27781429214052352,1000
atom,819281,27781600847069184,1000
atom,819281,27781600998588416,1000
atom,819281,27781738296246272,1000
atom,819281,27781875735199744,1000
atom,819281,27781978836434944,1000
atom,819281,27782185548775424,1000
atom,819281,27782219316068352,1000
atom,819281,27782253734002688,1000
atom,819281,27782288069099520,1000
atom,819281,27782391138353152,1000
atom,819281,27782391171907584,1000
atom,819281,27782391203102720,1000
atom,819281,27782391213064192,1000
atom,819281,27782391467343872,1000
atom,819281,27782391468130304,1000
atom,819281,27782425508052992,1000
atom,819281,27782425533480960,1000
atom,819281,27782425535578112,1000
atom,819281,27782425720127488,1000
atom,819281,27782459984445440,1000
atom,819281,27782460076457984,1000
atom,819281,27782460081176576,1000
atom,819281,27782460182102016,1000
atom,819281,27782460190490624,1000
atom,819281,27782460206743552,1000
atom,819281,27782460295872512,1000
atom,819281,27782460569288704,1000
atom,819281,27782494195023872,1000
atom,819281,27782494200004608,1000
atom,819281,27782528552140800,1000
atom,819281,27782528569442304,1000
atom,819281,27782563042951168,1000
atom,819281,27782563045048320,1000
atom,819281,27782563045572608,1000
atom,819281,27782563121594368,1000
atom,819281,27782563122118656,1000
atom,819281,27782563136798720,1000
atom,819281,27782563152527360,1000
atom,819281,27782563153051648,1000
atom,819281,27782563153575936,1000
atom,819281,27782563517169664,1000
atom,819281,27782563677601792,1000
atom,819281,27782563678126080,1000
atom,819281,27782563678650368,1000
atom,819281,27782563679174656,1000
atom,819281,27782563679698944,1000
atom,819281,27782563680223232,1000
atom,819281,27782563688087552,1000
atom,819281,27782563691757568,1000
atom,819281,27782563702505472,1000
atom,819281,27782563746021376,1000
atom,819281,27782563746545664,1000
atom,819281,27782563747069952,1000
atom,819281,27782563747594240,1000
atom,819281,27782563748118528,1000
atom,819281,27782631761117184,1000
atom,819281,27782631821934592,1000
atom,819281,27782631823507456,1000
atom,819281,27782631826653184,1000
atom,819281,27782631827177472,1000
atom,819281,27782631831371776,1000
atom,819281,27782631831896064,1000
atom,819281,27782631833993216,1000
atom,819281,27782631835566080,1000
atom,819281,27782631837138944,1000
atom,819281,27782631840808960,1000
atom,819281,27782631841333248,1000
atom,819281,27782631841857536,1000
atom,819281,27782631842381824,1000
atom,819281,27782631846576128,1000
atom,819281,27782631847100416,1000
atom,819281,27782631866499072,1000
atom,819281,27782631868071936,1000
atom,819281,27782631868596224,1000
atom,819281,27782631870693376,1000
atom,819281,27782631871217664,1000
atom,819281,27782631871741952,1000
atom,819281,27782631877509120,1000
atom,819281,27782631878033408,1000
atom,819281,27782631887470592,1000
atom,819281,27782631890616320,1000
atom,819281,27782631891140608,1000
atom,819281,27782631924695040,1000
atom,819281,27782631994425344,1000
atom,819281,27782632008843264,1000
atom,819281,27782632066514944,1000
atom,819281,27782632067039232,1000
atom,819281,27782632068612096,1000
atom,819281,27782632249491456,1000
atom,819281,27782632378204160,1000
atom,819281,27782632412807168,1000
atom,819281,27782632418312192,1000
atom,819281,27782632418836480,1000
atom,819281,27782632419622912,1000
atom,819281,27782666037755904,1000
