ticker,height,utxo_id,amount
quark,822900,28264080576610304,20000
quark,822900,28264492819546112,20000
quark,822900,28265729728184320,20000
quark,822900,28266588758081536,20000
quark,822900,28266588773810176,20000
quark,822900,28266588775907328,20000
quark,822900,28266623288475648,20000
quark,822900,28266864576823296,20000
quark,822900,28266967072243712,20000
quark,822900,28267070549917696,20000
quark,822900,28267414010724352,20000
quark,822900,28267482697957376,20000
quark,822900,28267551183339520,20000
quark,822900,28269063004225536,20000
quark,822900,28269406629134336,20000
quark,822900,28269440941948928,20000
quark,822900,28269509542674432,20000
quark,822900,28269612470632448,20000
quark,822900,28269612482428928,20000
quark,822900,28269681346871296,20000
quark,822900,28269749656354816,20000
quark,822900,28269749739192320,20000
quark,822900,28269750267674624,20000
quark,822900,28269818523942912,20000
quark,822900,28269819210760192,20000
quark,822900,28269819418378240,20000
quark,822900,28269852794552320,20000
quark,822900,28269887256002560,20000
quark,822900,28269921469988864,20000
quark,822900,28269955803774976,20000
quark,822900,28269990674432000,20000
quark,822900,28270093358858240,20000
quark,822900,28270093978828800,20000
quark,822900,28270094309654528,20000
quark,822900,28270197595439104,20000
quark,822900,28270230721003520,20000
quark,822900,28270265170657280,20000
quark,822900,28270299655700480,20000
quark,822900,28270300109471744,20000
quark,822900,28270300165308416,20000
quark,822900,28270300256272384,20000
quark,822900,28270300333867008,20000
quark,822900,28270403264708608,20000
quark,822900,28270403265232896,20000
quark,822900,28270403265757184,20000
quark,822900,28270471911309312,20000
quark,822900,28270505759342592,20000
quark,822900,28270643625328640,20000
quark,822900,28270815636881408,20000
quark,822900,28270884542480384,20000
quark,822900,28270918076727296,20000
quark,822900,28270918103465984,20000
quark,822900,28270986792796160,20000
quark,822900,28271090839846912,20000
quark,822900,28271159492739072,20000
quark,822900,28271159565615104,20000
quark,822900,28271331349626880,20000
quark,822900,28271639497801728,20000
quark,822900,28271640003739648,20000
quark,822900,28271673813762048,20000
quark,822900,28271709219717120,20000
quark,822900,28271709220241408,20000
