ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
aries,860000,00009b434703be9204e25fba8d2ec8d72ccd03f28d4bb32b657f62062a75354ci0,296,988796,261,1044000,5250
arthur,860000,00003b7c30130cbd826df533e2c8105753547f8182250c622610211722849fa3i0,0,0,0,0,1000
asigna777,860000,82788cdf08ca226221fc2e32377d2a1dd00395cc2e0826691f2ef4bfc4e2ca9di0,1,601,1,0,0
asignatest,860000,19884f0825fb816cddeebac1b361c849277b24a5ca670d302a55478ad8f55cafi0,3,2000,1,0,0
astroboy,860000,a20b8d9b61912123bab44f437c8f80fa190e852b5cf0519db1a5a22c2401815ci0,1,10000000,1,10000000,1
asut,860000,8a7165e953bc0c044afe839413b6ed766dfcad7940116f158c513c3a4f3b250ci0,0,0,0,0,21000
at0m,860000,000077371d7ca35ae4349dcef843ee91625406ca4844299a9dec80148f77ac39i0,0,0,0,0,21000
atm,860000,9ba6b2828464aaa14d3ce7054d028f8b7a4f83a09acf669ad531e17ffcc5e352i0,7,7000,7,7000,21000
atmo,860000,39b7b4deb1b3e2dcbb886767907f3a0ef25e743da95cec6bd6f10e3490f00003i0,59,61000,76,76000,21000
atom,860000,56a8702bab3d2405eb9a356fd0725ca112a93a8efd1ecca06c6085e7278f0341i0,12899,19330214,21000,21000000,21000
atom2,860000,136379859fdba9c8b4833ecbc29c3ae53e22590bf2b0460d5c806a3512302b70i0,1,1840,1,1000000,21
atom20,860000,58655d0bfc9b2edebadc95c7656ad90e4bd7f6a35c0987964d1c40cdf3c87e17i0,3,3000,3,3000,21000
atom2024,860000,1122e917ebb93fbd0ecb4a54f30cd3fcef0f43d315899d99507515812ea1c0bai0,0,0,0,0,1
atomarc,860000,00009dfe8865d9190f06f32c79ac29ee879e3546c30c6b731ee2ca6bcbf8daaci0,0,0,1,546,1
atomavm,860000,0000c9b2b9d9953795e5fbe54fdc462ec8f6d41484395e565d0f8f04724440b3i0,0,0,0,0,21000
atombomb,860000,05fffb34e3907304757ce8290129e96d81ba61dda65aff85f1d133eaee171531i0,0,0,0,0,194586
atombtc,860000,1200d535ed19e97345c2db6b264b16c42105c5ea9b0d245d2e49117dbe81dd01i0,232,232000,233,233000,21000
atomfi,860000,892331ef0d758e56e3f4f3dbd143e2e37626c38eeefb7fd816c19da40a826908i0,1,9998,1,9998,100000
atomi,860000,232487243cfc821de50533c55f4cb4969350771adcd87822e5388a24bcd3bf32i0,14684,20697573,21000,21000000,21000
atomic,860000,0000a7f9a95a3967388088868e4c531bd16997eb07e20bb4e3b3af9a2375335ai0,0,0,0,0,1
atomical,860000,0000d816b114585b45bf29e2ed0c2fa3c846f01f6ae44ee985d78f2f4acfb18di0,16939,20906438,21000,21000000,21000
atomicals,860000,54799a35caf574c08d44216c354ef16344f9c5f6c8cf6e349468d90549c9ed5fi0,11800,20310715,21000,21000000,21000
