ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
0,950000,74354f5abd480379ff5346c2258bb87510c75859f9623734792000d9ff9cef81i0,18,20000,21,21000,21
1,950000,221236662c30949b81433f0bc69fabf55b0a5a0bea3e76b01dbd8e7afbc99c4bi0,2,1000,1,1000,1
10mm,950000,796860f3dd002a176913b0ec42e9503865745b1940589eaccbff767162bb0151i0,0,0,0,0,21000
1234,950000,3364666533a8244244af9640463df83853f196cbe8f8f62b26fb069a5fcf179ai0,0,0,31,24800,500000
1bitcoin,950000,0000efded03c549b6c42186a99ba696d9ae0c27c63284e5e8be3685542b4aa97i0,0,0,0,0,1
1ecash1dollar,950000,0000fdb201964da15d1cb4fd35b9b2d1f9e2771cbde12e94a9e565e97ca504ffi0,0,0,0,0,1000000
1ecash1usd,950000,00004d3e407834db6fb6a70b064ad4b7999f417c275bfb50fc677c6190f4a2a5i0,0,0,0,0,1000000
1sat1usd,950000,000082f349336d280333e28ec991874915678b6ed787e5ed9a4427a72c0b6846i0,0,0,0,0,1000000
1sats1dollar,950000,00009931670cd8a800bbd0179a5573a1c1075f9076a475b0cc465f4619940026i0,0,0,0,0,1000000
1tum,950000,00005877c72c40bf2f7be16d825a3656663ae4ec0852e403447d9bbb2d6f2d0di0,0,0,0,0,500000
2,950000,57799122cfded50a81835337b7b01d368be94677077a0fd8257ca6dc0a3a24cei0,1,1000,1,1000,1
2024,950000,4542ede59b8d821d4339430cd6c3d50d79366d2a012e58f1c1ba07295c20ea44i0,1,2024,1,0,0
2026,950000,3470281e4220ce5e0e988a388ae0fb5786318a4cf7f1c32038c9bfaf598c3c32i0,0,0,0,0,21000
235u,950000,23503bfd242b62fec87a914996a4f53a11eef8eb84cbd5f8127767e270c48057i0,1,546,1,546,1
3,950000,9135a933634304b26c5113d16af578f7579096305a60ae1dd09215803a32b54fi0,1,1000,1,1000,1
369,950000,0000e3e94d69076f91c2243b9701e17a19059c7220a38be87427ba122405cbc5i0,1,1000,1,1000,21000
3body,950000,00001b54368365711e1db7aa1f17c7c603c125a37fde05023127e781ddae05cai0,17,243390,3,360000,420000
4,950000,00004ab7d92c11a135cb5833a7b0202dcc18b7bb56779970c8fdf86f0093b0eei0,2,2000,2,2000,21000
5,950000,00005ee190494f135ba3424abc587d0bfe42ad0a0c6c726aa2dbfb29e6963d99i0,12,16546,34,34000,21000
546,950000,8107947ce496504385d49d122327cc065a5be3e9ca828f2b2b30817346264b83i0,9,229072,2,229320,100000
6,950000,3950e1c98f816ce8c3dbcc76b0a86a3f5580ef00b0c030813c1d790f65192aaai0,1,1000,1,1000,1
7,950000,0000220ca477b1586f3aabe19d5066db7003a7a91464ba6df9bd4ada27a5d589i0,46,104104,130,130000,21000
8,950000,2101f9ae1a90cc52f51db85e688459129a9e7f49f2623a4bc613d0085e0dafddi0,1,1000,1,1000,1
808080,950000,f32bd85c932c9df1acded8af3df539b735a24c616f1284f1aaf807a1645b4431i0,9,12000,12,12000,21000
9,950000,00009e9a921b1176380ba02bd2aa1d6cce4131117362b6a64815ef2aa2e47be3i0,1,546,1,546,1
96110,950000,0000a66b77f96854bba0ee2b2571dbe6e420a735297ce23f850631c7b8b86bf3i0,0,0,0,0,21000
999999999999999999btc,950000,00002eef59eacb3ab23249256d0a055683c9860df90f765e9a75fe5aa8ae6116i0,1,1000,1,1000,21000
a,950000,66466d0207d9f50b5782678282e08cffb8e315e95da8d91b3d46f290b440a8bdi0,12174,20174138,21000,21000000,21000
a16z,950000,33933486f1ec31be584c8438f7a4d586a3129f862e01d83db3a71f6b392ca6a2i0,3,4914,3,4914,10000
aa,950000,6909938815b923d4477923f76ada31754917b5f28fecd4e5c114c37edf881231i0,9,9000,15,15000,42000
aaa,950000,34310bcf0c1f6b772d084b1ddfea88e4a26d982a88d791e34f5589038ac28be0i0,0,0,0,0,84000
aaaa,950000,5571d14a696410838c97cc6eb408797f14af99c604869e04632d398157a888c5i0,4,8000,4,8000,84000
aaron,950000,20191b7bfa77185fed2a959b8fb8329eaad7f1018ad6f05990a039e05a668b01i0,1,20000,1,20000,1
ab03,950000,0670ef64e0a2f62c84ada839923a308b86228ee92f9d6b95193dddccacd329dei0,1,1000,1,1000,21000
